city,name,district,address,order_count,population,region,groups_count,registered_count,phone,capacity,city_size,waiting_list_ratio,total_demand,demand_rate,occupancy_rate,children_per_group,capacity_per_group,demand_per_group,kg_per_100k,waiting_per_100k,capacity_per_100k,is_overcrowded,has_waiting_list,is_full,order_count_standard,registered_count_standard,groups_count_standard,capacity_standard,population_standard,total_demand_standard,children_per_group_standard,waiting_per_100k_standard,capacity_per_100k_standard,order_count_normalized,registered_count_normalized,groups_count_normalized,capacity_normalized,population_normalized,total_demand_normalized,children_per_group_normalized,waiting_per_100k_normalized,capacity_per_100k_normalized,population_log,total_demand_log,waiting_per_100k_log,size_category_Medium,size_category_Large,demand_category_Medium,demand_category_High,region_encoded,city_encoded,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,address_cleaned,has_district
Yerevan,1 Մանկապարտեզ,Կորյունի 8,(+374 10) 58-76-96,63,1093000,Capital,0,0,,0,Major City,63.0,63,0.984375,0.0,0.0,0.0,63.0,56.47611625043769,5.763952424519671,0.0,0,1,1,0.523659029354536,-1.5133284110578302,-1.6599805540628951,-0.7757123378577961,1.0111698735447452,-0.8859089232124832,-2.6824420705737144,-0.3290937046379377,-0.680739136528221,0.1926605504587156,0.0,0.0,0.0,1.0,0.08936170212765958,0.0,0.0102064133175641,0.0,13.90443768207134,4.1588830833596715,1.9116073973805614,False,False,False,True,2,9,526957.3529048862,237.23332797814388,-193.8340485730323,203.56794682257774,87.36948526933617,-66.45055726389079,-17.22877919022109,23.06586956390393,8.144867816488224,-7.335813745831909,374 10 587696,1
Yerevan,2 Մանկապարտեզ,Կենտրոն,Մաշտոցի 21ա,74,1093000,Capital,8,241,,0,Major City,0.30578512396694213,315,0.23417721518987342,241.0,26.77777777777778,0.0,8.222222222222221,56.47611625043769,6.7703568161024705,0.0,1,1,1,0.7470406536050878,1.197487248424582,1.0321016300292167,-0.7757123378577961,1.0111698735447452,1.1668983419903711,0.902078029342946,-0.3125922618492167,-0.680739136528221,0.22629969418960244,0.6055276381909548,0.6153846153846154,0.0,1.0,0.4468085106382979,0.900093370681606,0.01198848548412291,0.0,13.90443768207134,5.755742213586912,2.0503160856034706,False,True,True,False,2,9,526957.4353302424,237.16817522599825,94.8279849206373,-93.11094318502462,-11.701186832518557,9.072492123692234,-4.700145800125427,3.930135896063413,0.13589453128604229,0.9678349728562164,մաշտոցի 21ա,1
Yerevan,3 Մանկապարտեզ,Կենտրոն,Ս. Վրացյան 80,46,1093000,Capital,7,198,,0,Major City,0.23115577889447236,244,0.18775510204081633,198.0,24.75,0.0,5.75,56.47611625043769,4.208600182982616,0.0,0,1,1,0.17843288278550168,0.7138147448654794,0.6955913570177028,-0.7757123378577961,1.0111698735447452,0.5885280410800431,0.6306361545567258,-0.3545959344023248,-0.680739136528221,0.14067278287461774,0.49748743718592964,0.5384615384615385,0.0,1.0,0.34609929078014184,0.8319327731092436,0.007452301787427754,0.0,13.90443768207134,5.501258210544727,1.6503111407745432,False,True,True,False,2,9,526957.4169158047,237.19587591377905,24.642899331043015,-26.28809190626713,-19.49920445642637,14.14999595868581,3.188820663378187,5.301055563783097,0.6174625034525676,1.2817094807074128,ս վրացյան 80,1
Yerevan,4 Մանկապարտեզ,Կենտրոն,Գ. Լուսավորչի 15/1,78,1093000,Capital,4,107,,0,Major City,0.7222222222222222,185,0.41935483870967744,107.0,21.4,0.0,15.6,56.47611625043769,7.136322049405306,0.0,0,1,1,0.8282703351507429,-0.3097712510386679,-0.31393946201683914,-0.7757123378577961,1.0111698735447452,0.10791046708413671,0.18219930388250447,-0.3065917371987727,-0.680739136528221,0.23853211009174313,0.26884422110552764,0.3076923076923077,0.0,1.0,0.2624113475177305,0.7193277310924369,0.012636511726507932,0.0,13.90443768207134,5.225746673713202,2.0963382412231013,True,False,False,True,2,9,526957.3906615456,237.1958174896644,-57.945830544852306,64.50910339045026,39.39218255622381,-25.581644254725056,-4.509213909201695,-26.537991643918915,-1.8146495013513388,2.523902360200884,գ լուսավորչի 151,1
Yerevan,5 Մանկապարտեզ,Կենտրոն,Սախարովի 11,82,1093000,Capital,6,185,,0,Major City,0.44086021505376344,267,0.30597014925373134,185.0,26.428571428571427,0.0,11.714285714285714,56.47611625043769,7.502287282708143,0.0,1,1,1,0.909500016696398,0.5675881740220298,0.35908108400618877,-0.7757123378577961,1.0111698735447452,0.7758874343326845,0.8553326575598003,-0.3005912125483287,-0.680739136528221,0.25076452599388377,0.4648241206030151,0.46153846153846156,0.0,1.0,0.3787234042553192,0.8883553421368546,0.013284537968892954,0.0,13.90443768207134,5.5909869805108565,2.140335219380801,True,False,True,False,2,9,526957.4175449015,237.17551804996648,35.60245099186789,-30.787914021375943,14.66906119408457,-8.73230579205967,-6.129964026796304,-11.683128093062221,-1.0478522286290262,3.2167077504783688,սախարովի 11,1
Yerevan,6 Մանկապարտեզ,Կենտրոն,Վարդանանց 16,22,1093000,Capital,3,88,,0,Major City,0.24719101123595505,110,0.1981981981981982,88.0,22.0,0.0,5.5,56.47611625043769,2.012808783165599,0.0,0,1,1,-0.3089452064884292,-0.5234870084252481,-0.6504497350283531,-0.7757123378577961,1.0111698735447452,-0.5030440761309984,0.2625163517644547,-0.3905990823049888,-0.680739136528221,0.0672782874617737,0.22110552763819097,0.23076923076923078,0.0,1.0,0.15602836879432624,0.7394957983193277,0.0035641443331176216,0.0,13.90443768207134,4.709530201312334,1.1028727941998258,False,False,True,False,2,9,526957.3764361189,237.23602662715982,-120.44947584428225,118.18116195849574,-0.5303260172179922,1.26707503960252,11.023040984024922,-10.348572721511742,-0.659719971517429,3.921844222450189,վարդանանց 16,1
Yerevan,7 Մանկապարտեզ,Կենտրոն,Մաշտոցի 45/2,46,1093000,Capital,6,173,,0,Major City,0.26436781609195403,219,0.20909090909090908,173.0,24.714285714285715,0.0,6.571428571428571,56.47611625043769,4.208600182982616,0.0,0,1,1,0.17843288278550168,0.4326098009357686,0.35908108400618877,-0.7757123378577961,1.0111698735447452,0.384876526674998,0.6258553778970861,-0.3545959344023248,-0.680739136528221,0.14067278287461774,0.43467336683417085,0.46153846153846156,0.0,1.0,0.31063829787234043,0.8307322929171669,0.007452301787427754,0.0,13.90443768207134,5.393627546352361,1.6503111407745432,True,False,True,False,2,9,526957.4084773109,237.201444718683,-4.375971862736317,3.512345859871914,-10.709798374568088,8.213496501320108,3.5343389699519285,-0.3878813019251611,0.16638808115790119,2.390487070780522,մաշտոցի 452,1
Yerevan,8 Մանկապարտեզ,Չարենցի 38,+(374 10)55-16-20,56,1093000,Capital,4,111,,0,Major City,0.5,167,0.3333333333333333,111.0,22.2,0.0,11.2,56.47611625043769,5.123513266239708,0.0,0,1,1,0.38150708664963956,-0.2647784600099142,-0.31393946201683914,-0.7757123378577961,1.0111698735447452,-0.038718623287495736,0.28928870105843796,-0.3395946227762147,-0.680739136528221,0.1712538226299694,0.27889447236180903,0.3076923076923077,0.0,1.0,0.23687943262411348,0.7462184873949579,0.009072367393390311,0.0,13.90443768207134,5.123963979403259,1.8121359949241036,True,False,True,False,2,9,526957.3889436942,237.2090112115547,-69.17806965274669,71.92005379167716,19.641583034597563,-12.293083750583715,1.4647097916719014,-17.648869073645148,-1.1208492094864906,3.0531822149101395,374 10551620,1
Yerevan,9 Մանկապարտեզ,Կենտրոն,Հանրապետության 62,13,1093000,Capital,3,81,,0,Major City,0.15853658536585366,94,0.1368421052631579,81.0,20.25,0.0,3.25,56.47611625043769,1.1893870082342177,0.0,0,1,1,-0.4917119899661533,-0.6022243927255672,-0.6504497350283531,-0.7757123378577961,1.0111698735447452,-0.6333810453502273,0.02825829544210036,-0.4041002627684878,-0.680739136528221,0.039755351681957186,0.20351758793969849,0.23076923076923078,0.0,1.0,0.13333333333333333,0.680672268907563,0.002106085287751322,0.0,13.90443768207134,4.553876891600541,0.7836215997318348,False,False,True,False,2,9,526957.372807006,237.24357173759392,-135.12792944278857,131.5215669745494,-5.629567600540866,4.836254575625588,13.648465761576661,-8.83768838328405,-1.1456492446030486,2.627508054537225,հանրապետության 62,1
Yerevan,10 Մանկապարտեզ,Մաշտոցի 20,+(374 10 ) 58-91-02,25,1093000,Capital,4,109,,0,Major City,0.22727272727272727,134,0.18518518518518517,109.0,21.8,0.0,5.0,56.47611625043769,2.2872827081427265,0.0,0,1,1,-0.24802294532918787,-0.28727485552429105,-0.31393946201683914,-0.7757123378577961,1.0111698735447452,-0.30753862230215523,0.23574400247047145,-0.3860986888171558,-0.680739136528221,0.0764525993883792,0.27386934673366836,0.3076923076923077,0.0,1.0,0.19007092198581563,0.7327731092436974,0.004050164014906389,0.0,13.90443768207134,4.90527477843843,1.19006129893698,True,False,True,False,2,9,526957.3839397475,237.22945552773473,-93.91101631989788,91.48106751918216,-5.485236297435352,4.674196613031429,9.979268945220019,-6.827595109481231,-0.5871480222011685,2.7653061809901183,374 10  589102,1
